Status Response: [02 00 00 15 7f 00 6e 01 27 01] (?: 02,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.0V, ?: 01 27 01)
Status Response: [02 00 00 15 7f 00 6f 01 27 01] (?: 02,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.1V, ?: 01 27 01)
Status Response: [02 00 00 15 7f 00 6e 01 27 01] (?: 02,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.0V, ?: 01 27 01)
Status Response: [02 01 00 14 7f 00 6f 01 26 01] (?: 02,?: 01, Error code: 00, Temp: 20°C, ?: 7f 00, Voltage: 11.1V, ?: 01 26 01)
Status Response: [02 01 00 15 7f 00 6f 01 27 01] (?: 02,?: 01, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.1V, ?: 01 27 01)
Status Response: [02 01 00 15 7f 00 6f 01 27 01] (?: 02,?: 01, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.1V, ?: 01 27 01)
Status Response: [02 02 00 15 7f 00 70 01 27 01] (?: 02,?: 02, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.2V, ?: 01 27 01)
Status Response: [02 02 00 15 7f 00 70 01 27 01] (?: 02,?: 02, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.2V, ?: 01 27 01)
Status Response: [02 02 00 15 7f 00 6f 01 27 01] (?: 02,?: 02, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.1V, ?: 01 27 01)
Status Response: [02 02 00 15 7f 00 70 01 27 01] (?: 02,?: 02, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.2V, ?: 01 27 01)
Status Response: [02 02 00 15 7f 00 70 01 27 01] (?: 02,?: 02, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.2V, ?: 01 27 01)
Status Response: [02 02 00 15 7f 00 70 01 27 01] (?: 02,?: 02, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.2V, ?: 01 27 01)
Status Response: [02 02 00 15 7f 00 6f 01 27 01] (?: 02,?: 02, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.1V, ?: 01 27 01)
Status Response: [02 02 00 15 7f 00 70 01 27 01] (?: 02,?: 02, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.2V, ?: 01 27 01)
Status Response: [02 02 00 15 7f 00 70 01 27 01] (?: 02,?: 02, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.2V, ?: 01 27 01)
Status Response: [02 02 00 15 7f 00 70 01 27 01] (?: 02,?: 02, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.2V, ?: 01 27 01)
Status Response: [02 02 00 15 7f 00 6c 01 27 01] (?: 02,?: 02, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 10.8V, ?: 01 27 01)
Status Response: [02 02 00 15 7f 00 6f 01 27 01] (?: 02,?: 02, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.1V, ?: 01 27 01)
unknown packet (crc ok):  aa 03 00 00 03
Status Response: [04 00 00 15 7f 00 6f 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.1V, ?: 01 27 05)
Status Response: [04 00 00 15 7f 00 6f 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.1V, ?: 01 27 05)
Status Response: [04 00 00 15 7f 00 6e 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.0V, ?: 01 27 05)
Status Response: [04 00 00 15 7f 00 6b 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 10.7V, ?: 01 27 05)
Status Response: [04 00 00 15 7f 00 6a 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 10.6V, ?: 01 27 05)
Status Response: [04 00 00 15 7f 00 69 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 10.5V, ?: 01 27 05)
Status Response: [04 00 00 14 7f 00 6a 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 20°C, ?: 7f 00, Voltage: 10.6V, ?: 01 27 05)
Status Response: [04 00 00 14 7f 00 68 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 20°C, ?: 7f 00, Voltage: 10.4V, ?: 01 27 05)
Status Response: [04 00 00 14 7f 00 68 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 20°C, ?: 7f 00, Voltage: 10.4V, ?: 01 27 05)
Status Response: [04 00 00 14 7f 00 6a 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 20°C, ?: 7f 00, Voltage: 10.6V, ?: 01 27 05)
Status Response: [04 00 00 13 7f 00 69 01 26 05] (?: 04,?: 00, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 10.5V, ?: 01 26 05)
Status Response: [04 00 00 14 7f 00 69 01 28 05] (?: 04,?: 00, Error code: 00, Temp: 20°C, ?: 7f 00, Voltage: 10.5V, ?: 01 28 05)
Status Response: [04 00 00 13 7f 00 6a 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 10.6V, ?: 01 27 05)
Status Response: [04 00 00 13 7f 00 6d 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 10.9V, ?: 01 27 05)
Status Response: [04 00 00 13 7f 00 73 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 11.5V, ?: 01 27 05)
Status Response: [04 00 00 13 7f 00 73 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 11.5V, ?: 01 27 05)
Status Response: [04 00 00 13 7f 00 73 01 27 05] (?: 04,?: 00, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 11.5V, ?: 01 27 05)
Status Response: [04 00 00 13 7f 00 73 01 28 05] (?: 04,?: 00, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 11.5V, ?: 01 28 05)
Status Response: [04 00 00 13 7f 00 73 01 28 05] (?: 04,?: 00, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 11.5V, ?: 01 28 05)
Status Response: [04 00 00 13 7f 00 73 01 28 05] (?: 04,?: 00, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 11.5V, ?: 01 28 05)
Status Response: [00 01 00 12 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 00, Temp: 18°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
unknown packet (crc ok):  aa 04 00 00 03
Status Response: [00 01 00 12 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 00, Temp: 18°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
